"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10"
0.529871324,0.517426108,0.818152176,0.077023639,0.51493287,0.84937973,0.446295991,0.466262807,0.862243201,0.892562756
0.010053013,0.815176034,0.8450153,0.376999097,0.248059195,0.859405647,0.474825071,0.495988031,0.641061205,0.875928918
0.510487354,0.082249109,0.942791581,0.092005532,0.501758087,0.897610767,0.426990827,0.461353939,0.915774792,0.878407916
0.794319092,0.533865027,0,0,0.714274989,0.919026129,0.46257797,0.50708883,0.907252028,0.80712215
0.53350052,0.476568582,0.852780306,0,0.57705483,0.900192995,0.50914481,0.441179346,0.862970382,0.901971113
0.549959697,0.487726319,0.945599217,0,0,0.858854386,0.849637522,0.458988126,0.906014936,0.912500322
0.460368813,0.501848608,0.917397545,0.239300795,0.522596597,0,0.545508419,0.434082566,0.751721861,0.946482802
0.427145459,0.492922352,0.884601897,0.002402397,0.520915415,0.876361878,0,0.850223384,0.832537877,0.917185189
0.513984922,0.544410432,0.859676443,0,0.554408776,0.879938452,0.443014882,0.031132305,0.903685135,0.888020754
0.533942178,0.537357952,0.896238081,0.049495791,0.579922006,0.945878532,0.417966031,0.460968894,0,0.919535981
0.522307443,0.487185295,0.974815195,0.013396367,0.526813958,0.868487779,0.818270135,0.420615114,0.851067311,0.040810004
