"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50"
0.014169841,0.479495757,0.847362825,0.243821425,0.42355062,0.412988494,0.808394636,0.491029381,0.469469439,0.870800964,0.818627458,0.075595639,0.801788547,0.634179362,0.077077242,0.264069515,0,0.786569512,0.427459514,0.866100504,0.498588726,0.740365002,0.569971822,0.607237835,0.313021731,0.816186273,0.397510233,0.470309783,0.495468546,0,0.669443985,0.113532872,0.876847877,0.454422549,0.209793401,0.410536147,0.014178062,0.821749675,0.502298074,0.512229785,0.055188042,0.883004471,0.372223271,0.143018528,0.316373439,0.801992981,0.043723069,0.452891601,0.44713037,0.139887636
0.014981397,0.459361181,0.897675365,0.229355769,0.441147804,0.403463012,0.848907804,0.544086318,0.42566024,0.874946062,0.871962731,0.127585373,0.836424072,0.587383065,0.070532935,0.205213789,0,0.777503256,0.434147727,0.857762121,0.443671476,0.745851812,0.501997762,0.58577308,0.285874888,0.815905445,0.4001367,0.445116687,0.56339438,0.124735242,0.673776663,0.126491477,0.894909467,0.508603478,0.230996414,0.445267597,0,0.917092133,0.535555184,0.462613025,0,0.810070747,0.521954548,0.172727625,0.385838342,0.767089043,0.08573893,0.454008717,0.533026023,0.252290885
0.760965667,0,0.275614926,0.123768449,0.388307297,0.883662807,0.797796039,0.56758151,0.463568216,0.832448591,0.751797092,0.180026463,0.850818895,0.556789419,0.000358,0.290938385,0,0.89787042,0.454748659,0.86462597,0.397577713,0.669321171,0.591114245,0.594898524,0.283120111,0.844958877,0.429545966,0.458382975,0.447788736,0.009333165,0.615190125,0.093746965,0.85963667,0.504108012,0.164397016,0.40447944,0.015228465,0.808878779,0.487543996,0.49876078,0,0.891562388,0.474543095,0.18740374,0.421727575,0.90061457,0.058354517,0.462627622,0.466541785,0.241389084
0.025891262,0.479869258,0.099696302,0.212595031,0.475365292,0.377989984,0.800153559,0.5201993,0.510379081,0.869874897,0.85524113,0.134861949,0.830452902,0.627104875,0.051775903,0.193692686,0,0.821369455,0.408361905,0.880270164,0.459820086,0.747661006,0.5251859,0.557302609,0.296268253,0.863848386,0.408151112,0.474002394,0.518980491,0.139089205,0.659880007,0.111589797,0.804702976,0.526471873,0.222641535,0.521379821,0,0.875987836,0.400447216,0.39463167,0,0.817916854,0.454106497,0.182400937,0.37292413,0.914739206,0.090679389,0.4258041,0.440747879,0.250008879
0.190439903,0.075627562,0.860119977,0,0.743194975,0.726290355,0.882660977,0.845619855,0.459787396,0.848476331,0.873654175,0.013252613,0.893194968,0.826491813,0.011176228,0.229818258,0,0.791092365,0.391696722,0.850304243,0.457818092,0.75970694,0.55478067,0.620310782,0.22294922,0.910483165,0.424281416,0.437218172,0.589744208,0,0.637879163,0.103711007,0.815843906,0.538909341,0.245550456,0.393567638,0.033990236,0.801616629,0.442519091,0.424431881,0.004329943,0.824284355,0.47984252,0.146457787,0.362175296,0.896526936,0.060083757,0.48942855,0.495870222,0.221692206
0.055930867,0.47249519,0.809404475,0.233478418,0.023315148,0.451813498,0.751394966,0.564889502,0.475685763,0.880000764,0.825873905,0.159006067,0.871905246,0.572635561,0,0.277569827,0,0.746435514,0.476840681,0.869064196,0.395982697,0.73144892,0.616393352,0.59074082,0.324185063,0.876216508,0.418780506,0.426827061,0.509294266,0.001803958,0.567216358,0.161821339,0.863548301,0.568048574,0.196356468,0.397783539,0.022863132,0.840210497,0.42379108,0.417046026,0,0.800054769,0.411490178,0.186163373,0.437544536,0.810899675,0.097136989,0.489222306,0.486904855,0.209545263
0,0.380163972,0.849583164,0.147043565,0.457997194,0,0.824420209,0.451599058,0.437444855,0.878951286,0.829230387,0.173284292,0.856574205,0.585764724,0.020241561,0.189688777,0.017981827,0.744468932,0.414721391,0.920808859,0.454251944,0.714925833,0.534824797,0.626154912,0.273562858,0.840602731,0.362999729,0.401615206,0.608960569,0.046781354,0.626135574,0.168130804,0.789736205,0.569263985,0.259567667,0.484497113,0,0.862564842,0.424796645,0.37387045,0.064534579,0.817918953,0.444478478,0.101463327,0.370524346,0.830988808,0.086889779,0.47003468,0.439256419,0.176778337
0,0.424561717,0.898972177,0.271189195,0.441299199,0.356446391,0.029263995,0.495858905,0.447481017,0.790588145,0.894055966,0.112929554,0.854167719,0.644843154,0,0.223143942,0.075677657,0.753581994,0.400989136,0.896735591,0.366236319,0.715356397,0.605495392,0.510902946,0.216534785,0.869003075,0.380248586,0.441941064,0.630693887,0.005459803,0.621958247,0.157555218,0.898936288,0.473222326,0.222907332,0.468692703,0,0.846815203,0.373501961,0.445343185,0.014031785,0.840159737,0.429754803,0.255910844,0.369863503,0.833607308,0.069809986,0.480271528,0.459925679,0.142357497
0.091258498,0.455283257,0.820008661,0.227838635,0.422103785,0.397857541,0.797331271,0.01786385,0.373487278,0.81887985,0.904785936,0.075792261,0.879613558,0.716151375,0.057164656,0.166836662,0.006596129,0.712352344,0.45324952,0.848344779,0.44160943,0.733847963,0.607484212,0.540210574,0.216437038,0.785009728,0.331782695,0.418513965,0.62278923,0.041250867,0.690326758,0.089058612,0.867884978,0.537903765,0.197226935,0.452510191,0.017547416,0.838785475,0.467470609,0.412456469,0.016196876,0.810693769,0.469216217,0.151714489,0.441936182,0.903097683,0.061791104,0.444456236,0.482668115,0.309420816
0.037769507,0.424650174,0.783550114,0.799451509,0.361233068,0.373315137,0.430776001,0.854319006,0,0,0.938107872,0.412589916,0.864400391,0.373952824,0,0.822426036,0.532752644,0.78253572,0.45223442,0.85045334,0.49083842,0.766898767,0.534626356,0.797175192,0.289037623,0.899988727,0.375266565,0.477325685,0.505022667,0,0.598097028,0.141810135,0.956960497,0.50009704,0.156463248,0.419219332,0.044121023,0.846205453,0.47350494,0.447445085,0.050086606,0.832610377,0.524789133,0.187141044,0.414102343,0.884845391,0.076312691,0.442963662,0.497526918,0.146455736
